home_team,away_team,home_goals,away_goals,result,season
Aston Villa,West Ham United,1,0,1,0
Blackburn Rovers,Sheffield United,2,1,1,0
Charlton Athletic,Chelsea,0,1,2,0
Fulham,Newcastle United,2,1,1,0
Manchester City,Reading,0,2,2,0
Watford,Bolton Wanderers,0,1,2,0
Wigan Athletic,Portsmouth,1,0,1,0
Middlesbrough,Arsenal,1,1,0,0
Tottenham Hotspur,Manchester United,0,4,2,0
Reading,Aston Villa,2,0,1,0
Chelsea,Middlesbrough,3,0,1,0
Everton,Blackburn Rovers,1,0,1,0
Manchester United,Charlton Athletic,2,0,1,0
Newcastle United,Liverpool,2,1,1,0
Sheffield United,Tottenham Hotspur,2,1,1,0
West Ham United,Watford,0,1,2,0
Portsmouth,Manchester City,2,1,1,0
Bolton Wanderers,Fulham,2,1,1,0
Arsenal,Wigan Athletic,2,1,1,0
Watford,Wigan Athletic,1,1,0,0
Everton,Tottenham Hotspur,1,2,2,0
Fulham,Manchester United,1,2,2,0
Charlton Athletic,West Ham United,4,0,1,0
Liverpool,Sheffield United,4,0,1,0
Middlesbrough,Reading,2,1,1,0
Watford,Everton,0,3,2,0
Wigan Athletic,Newcastle United,1,0,1,0
Blackburn Rovers,Portsmouth,3,0,1,0
Tottenham Hotspur,Bolton Wanderers,4,1,1,0
Liverpool,Manchester United,0,1,2,0
Arsenal,Reading,2,1,1,0
Fulham,Aston Villa,1,1,0,0
Manchester City,Wigan Athletic,0,1,2,0
Newcastle United,Middlesbrough,0,0,0,0
Sheffield United,Everton,1,1,0,0
Watford,Charlton Athletic,2,2,0,0
Portsmouth,Chelsea,0,2,2,0
Bolton Wanderers,Blackburn Rovers,1,2,2,0
West Ham United,Tottenham Hotspur,3,4,2,0
Aston Villa,Arsenal,0,1,2,0
Manchester City,Chelsea,0,1,2,0
Manchester United,Bolton Wanderers,4,1,1,0
Chelsea,Sheffield United,3,0,1,0
Middlesbrough,Manchester City,0,2,2,0
Reading,Portsmouth,0,0,0,0
Tottenham Hotspur,Watford,3,1,1,0
Wigan Athletic,Fulham,0,0,0,0
Blackburn Rovers,West Ham United,1,2,2,0
Charlton Athletic,Newcastle United,2,0,1,0
Aston Villa,Liverpool,0,0,0,0
Everton,Arsenal,1,0,1,0
Liverpool,Arsenal,4,1,1,0
Bolton Wanderers,Sheffield United,1,0,1,0
Charlton Athletic,Wigan Athletic,1,0,1,0
Fulham,Portsmouth,1,1,0,0
Manchester United,Blackburn Rovers,4,1,1,0
Newcastle United,Manchester City,0,1,2,0
West Ham United,Middlesbrough,2,0,1,0
Watford,Chelsea,0,1,2,0
Tottenham Hotspur,Reading,1,0,1,0
Aston Villa,Everton,1,1,0,0
Manchester City,Charlton Athletic,0,0,0,0
Everton,Fulham,4,1,1,0
Chelsea,Tottenham Hotspur,1,0,1,0
Arsenal,West Ham United,0,1,2,0
Blackburn Rovers,Aston Villa,1,2,2,0
Middlesbrough,Watford,4,1,1,0
Reading,Liverpool,1,2,2,0
Sheffield United,Newcastle United,1,2,2,0
Wigan Athletic,Bolton Wanderers,1,3,2,0
Portsmouth,Manchester United,2,1,1,0
Watford,Portsmouth,4,2,1,0
Aston Villa,Wigan Athletic,1,1,0,0
Bolton Wanderers,Everton,1,1,0,0
Fulham,Manchester City,1,3,2,0
Newcastle United,Arsenal,0,0,0,0
Charlton Athletic,Reading,0,0,0,0
Arsenal,Bolton Wanderers,2,1,1,0
Manchester City,Liverpool,0,0,0,0
Middlesbrough,Aston Villa,1,3,2,0
Portsmouth,Newcastle United,2,1,1,0
Reading,Fulham,1,0,1,0
Sheffield United,West Ham United,3,0,1,0
Wigan Athletic,Tottenham Hotspur,3,3,0,0
Everton,Charlton Athletic,2,1,1,0
Arsenal,Manchester City,3,1,1,0
Manchester United,Sheffield United,2,0,1,0
Blackburn Rovers,Watford,3,1,1,0
Liverpool,Middlesbrough,2,0,1,0
West Ham United,Chelsea,1,4,2,0
Tottenham Hotspur,Arsenal,2,2,0,0
Bolton Wanderers,Reading,1,3,2,0
Charlton Athletic,Sheffield United,1,1,0,0
Fulham,Blackburn Rovers,1,1,0,0
Liverpool,Wigan Athletic,2,0,1,0
Watford,Manchester City,1,1,0,0
West Ham United,Everton,1,0,1,0
Manchester United,Middlesbrough,1,1,0,0
Newcastle United,Chelsea,0,0,0,0
Aston Villa,Portsmouth,0,0,0,0
Chelsea,Bolton Wanderers,2,2,0,0
Everton,Manchester United,2,4,2,0
Blackburn Rovers,Charlton Athletic,4,1,1,0
Manchester City,Aston Villa,0,2,2,0
Middlesbrough,Tottenham Hotspur,2,3,2,0
Portsmouth,Liverpool,2,1,1,0
Sheffield United,Watford,1,0,1,0
Wigan Athletic,West Ham United,0,3,2,0
Arsenal,Fulham,3,1,1,0
Reading,Newcastle United,1,0,1,0
Manchester City,Manchester United,0,1,2,0
Everton,Portsmouth,3,0,1,0
Fulham,Liverpool,1,0,1,0
Newcastle United,Blackburn Rovers,0,2,2,0
Reading,Watford,0,2,2,0
West Ham United,Bolton Wanderers,3,1,1,0
Wigan Athletic,Middlesbrough,0,1,2,0
Aston Villa,Sheffield United,3,0,1,0
Arsenal,Chelsea,1,1,0,0
Charlton Athletic,Tottenham Hotspur,0,2,2,0
Chelsea,Manchester United,0,0,0,0
Tottenham Hotspur,Blackburn Rovers,1,1,0,0
Blackburn Rovers,Reading,3,3,0,0
Bolton Wanderers,Aston Villa,2,2,0,0
Chelsea,Everton,1,1,0,0
Liverpool,Charlton Athletic,2,2,0,0
Manchester United,West Ham United,0,1,2,0
Middlesbrough,Fulham,3,1,1,0
Portsmouth,Arsenal,0,0,0,0
Sheffield United,Wigan Athletic,1,2,2,0
Tottenham Hotspur,Manchester City,2,1,1,0
Watford,Newcastle United,1,1,0,0
Sunderland,Tottenham Hotspur,1,0,1,1
Bolton Wanderers,Newcastle United,1,3,2,1
Derby County,Portsmouth,2,2,0,1
Everton,Wigan Athletic,2,1,1,1
Middlesbrough,Blackburn Rovers,1,2,2,1
West Ham United,Manchester City,0,2,2,1
Aston Villa,Liverpool,1,2,2,1
Arsenal,Fulham,2,1,1,1
Chelsea,Birmingham City,3,2,1,1
Manchester United,Reading,0,0,0,1
Tottenham Hotspur,Everton,1,3,2,1
Birmingham City,Sunderland,2,2,0,1
Fulham,Bolton Wanderers,2,1,1,1
Manchester City,Derby County,1,0,1,1
Portsmouth,Manchester United,1,1,0,1
Reading,Chelsea,1,2,2,1
Wigan Athletic,Middlesbrough,1,0,1,1
Portsmouth,Bolton Wanderers,3,1,1,1
Birmingham City,West Ham United,0,1,2,1
Fulham,Middlesbrough,1,2,2,1
Reading,Everton,1,0,1,1
Tottenham Hotspur,Derby County,4,0,1,1
Wigan Athletic,Sunderland,3,0,1,1
Newcastle United,Aston Villa,0,0,0,1
Manchester City,Manchester United,1,0,1,1
Blackburn Rovers,Arsenal,1,1,0,1
Liverpool,Chelsea,1,1,0,1
Sunderland,Liverpool,0,2,2,1
Arsenal,Manchester City,1,0,1,1
Aston Villa,Fulham,2,1,1,1
Bolton Wanderers,Reading,3,0,1,1
Chelsea,Portsmouth,1,0,1,1
Derby County,Birmingham City,1,2,2,1
West Ham United,Wigan Athletic,1,1,0,1
Everton,Blackburn Rovers,1,1,0,1
Middlesbrough,Newcastle United,2,2,0,1
Manchester United,Tottenham Hotspur,1,0,1,1
Bolton Wanderers,Everton,1,2,2,1
Fulham,Tottenham Hotspur,3,3,0,1
Liverpool,Derby County,6,0,1,1
Middlesbrough,Birmingham City,2,0,1,1
Newcastle United,Wigan Athletic,1,0,1,1
Reading,West Ham United,0,3,2,1
Manchester United,Sunderland,1,0,1,1
Arsenal,Portsmouth,3,1,1,1
Blackburn Rovers,Manchester City,1,0,1,1
Aston Villa,Chelsea,2,0,1,1
Everton,Manchester United,0,1,2,1
Portsmouth,Liverpool,0,0,0,1
Tottenham Hotspur,Arsenal,1,3,2,1
Birmingham City,Bolton Wanderers,1,0,1,1
Sunderland,Reading,2,1,1,1
West Ham United,Middlesbrough,3,0,1,1
Wigan Athletic,Fulham,1,1,0,1
Chelsea,Blackburn Rovers,0,0,0,1
Manchester City,Aston Villa,1,0,1,1
Derby County,Newcastle United,1,0,1,1
Arsenal,Derby County,5,0,1,1
Liverpool,Birmingham City,0,0,0,1
Middlesbrough,Sunderland,2,2,0,1
Reading,Wigan Athletic,2,1,1,1
Fulham,Manchester City,3,3,0,1
Newcastle United,West Ham United,3,1,1,1
Aston Villa,Everton,2,0,1,1
Blackburn Rovers,Portsmouth,0,1,2,1
Bolton Wanderers,Tottenham Hotspur,1,1,0,1
Manchester United,Chelsea,2,0,1,1
Manchester City,Newcastle United,3,1,1,1
Chelsea,Fulham,0,0,0,1
Derby County,Bolton Wanderers,1,1,0,1
Portsmouth,Reading,7,4,1,1
Sunderland,Blackburn Rovers,1,2,2,1
West Ham United,Arsenal,0,1,2,1
Wigan Athletic,Liverpool,0,1,2,1
Birmingham City,Manchester United,0,1,2,1
Everton,Middlesbrough,2,0,1,1
Tottenham Hotspur,Aston Villa,4,4,0,1
Manchester United,Wigan Athletic,4,0,1,1
Aston Villa,West Ham United,1,0,1,1
Arsenal,Sunderland,3,2,1,1
Reading,Derby County,1,0,1,1
Blackburn Rovers,Birmingham City,2,1,1,1
Bolton Wanderers,Chelsea,0,1,2,1
Liverpool,Tottenham Hotspur,2,2,0,1
Manchester City,Middlesbrough,3,1,1,1
Newcastle United,Everton,3,2,1,1
Fulham,Portsmouth,0,2,2,1
Everton,Liverpool,1,2,2,1
Arsenal,Bolton Wanderers,2,0,1,1
Blackburn Rovers,Reading,4,2,1,1
Fulham,Derby County,0,0,0,1
Manchester City,Birmingham City,1,0,1,1
Middlesbrough,Chelsea,0,2,2,1
Wigan Athletic,Portsmouth,0,2,2,1
Aston Villa,Manchester United,1,4,2,1
West Ham United,Sunderland,3,1,1,1
Newcastle United,Tottenham Hotspur,3,1,1,1
Birmingham City,Wigan Athletic,3,2,1,1
Chelsea,Manchester City,6,0,1,1
Manchester United,Middlesbrough,4,1,1,1
Reading,Newcastle United,2,1,1,1
Sunderland,Fulham,1,1,0,1
Portsmouth,West Ham United,0,0,0,1
Bolton Wanderers,Aston Villa,1,1,0,1
Derby County,Everton,0,2,2,1
Tottenham Hotspur,Blackburn Rovers,1,2,2,1
Liverpool,Arsenal,1,1,0,1
Arsenal,Manchester United,2,2,0,1
Aston Villa,Derby County,2,0,1,1
Everton,Birmingham City,3,1,1,1
Fulham,Reading,3,1,1,1
Middlesbrough,Tottenham Hotspur,1,1,0,1
Newcastle United,Portsmouth,1,4,2,1
Wigan Athletic,Chelsea,0,2,2,1
Blackburn Rovers,Liverpool,0,0,0,1
West Ham United,Bolton Wanderers,1,1,0,1
Manchester City,Sunderland,1,0,1,1
Sunderland,Newcastle United,1,1,0,1
Derby County,West Ham United,0,5,2,1
Liverpool,Fulham,2,0,1,1
Birmingham City,Aston Villa,1,2,2,1
Chelsea,Everton,1,1,0,1
Bolton Wanderers,Middlesbrough,0,0,0,1
Manchester United,Blackburn Rovers,2,0,1,1
Tottenham Hotspur,Wigan Athletic,4,0,1,1
Portsmouth,Manchester City,0,0,0,1
Reading,Arsenal,1,3,2,1
Newcastle United,Liverpool,0,3,2,1
Arsenal,Wigan Athletic,2,0,1,1
Birmingham City,Portsmouth,0,2,2,1
Bolton Wanderers,Manchester United,1,0,1,1
Everton,Sunderland,7,1,1,1
Manchester City,Reading,2,1,1,1
Middlesbrough,Aston Villa,0,3,2,1
Derby County,Chelsea,0,2,2,1
West Ham United,Tottenham Hotspur,1,1,0,1
Fulham,Blackburn Rovers,2,2,0,1
Blackburn Rovers,Aston Villa,0,4,2,1
Chelsea,West Ham United,1,0,1,1
Blackburn Rovers,Newcastle United,3,1,1,1
Portsmouth,Everton,0,0,0,1
Reading,Middlesbrough,1,1,0,1
Sunderland,Derby County,1,0,1,1
Wigan Athletic,Manchester City,1,1,0,1
Aston Villa,Arsenal,1,2,2,1
Liverpool,Bolton Wanderers,4,0,1,1
Tottenham Hotspur,Birmingham City,2,3,2,1
Manchester United,Fulham,2,0,1,1
Newcastle United,Arsenal,1,1,0,1
Aston Villa,Portsmouth,1,3,2,1
Chelsea,Sunderland,2,0,1,1
Everton,Fulham,3,0,1,1
Manchester United,Derby County,4,1,1,1
Newcastle United,Birmingham City,2,1,1,1
Reading,Liverpool,3,1,1,1
Middlesbrough,Arsenal,2,1,1,1
Bolton Wanderers,Wigan Athletic,4,1,1,1
Tottenham Hotspur,Manchester City,2,1,1,1
Blackburn Rovers,West Ham United,0,1,2,1
Birmingham City,Reading,1,1,0,1
Derby County,Middlesbrough,0,1,2,1
Manchester City,Bolton Wanderers,4,2,1,1
Portsmouth,Tottenham Hotspur,0,1,2,1
Sunderland,Aston Villa,1,1,0,1
West Ham United,Everton,0,2,2,1
Wigan Athletic,Blackburn Rovers,5,3,1,1
Fulham,Newcastle United,0,1,2,1
Liverpool,Manchester United,0,1,2,1
Arsenal,Chelsea,1,0,1,1
Arsenal,Tottenham Hotspur,2,1,1,1
Aston Villa,Manchester City,1,1,0,1
Bolton Wanderers,Birmingham City,3,0,1,1
Fulham,Wigan Athletic,1,1,0,1
Liverpool,Portsmouth,4,1,1,1
Middlesbrough,West Ham United,1,2,2,1
Reading,Sunderland,2,1,1,1
Manchester United,Everton,2,1,1,1
Newcastle United,Derby County,2,2,0,1
Blackburn Rovers,Chelsea,0,1,2,1
Chelsea,Aston Villa,4,4,0,1
Tottenham Hotspur,Fulham,5,1,1,1
West Ham United,Reading,1,1,0,1
Birmingham City,Middlesbrough,3,0,1,1
Derby County,Liverpool,1,2,2,1
Everton,Bolton Wanderers,2,0,1,1
Sunderland,Manchester United,0,4,2,1
Wigan Athletic,Newcastle United,1,0,1,1
Portsmouth,Arsenal,0,0,0,1
Manchester City,Blackburn Rovers,2,2,0,1
Birmingham City,Fulham,1,1,0,1
Chelsea,Newcastle United,2,1,1,1
Portsmouth,Middlesbrough,0,1,2,1
Sunderland,Bolton Wanderers,3,1,1,1
Tottenham Hotspur,Reading,6,4,1,1
West Ham United,Manchester United,2,1,1,1
Wigan Athletic,Aston Villa,1,2,2,1
Everton,Arsenal,1,4,2,1
Derby County,Blackburn Rovers,1,2,2,1
Manchester City,Liverpool,0,0,0,1
Fulham,Chelsea,1,2,2,1
Arsenal,West Ham United,2,0,1,1
Manchester United,Birmingham City,1,0,1,1
Middlesbrough,Everton,0,2,2,1
Reading,Portsmouth,0,2,2,1
Aston Villa,Tottenham Hotspur,2,1,1,1
Newcastle United,Manchester City,0,2,2,1
Blackburn Rovers,Sunderland,1,0,1,1
Bolton Wanderers,Derby County,1,0,1,1
Liverpool,Wigan Athletic,1,1,0,1
Arsenal,Birmingham City,1,1,0,1
Aston Villa,Reading,3,1,1,1
Chelsea,Tottenham Hotspur,2,0,1,1
Derby County,Wigan Athletic,0,1,2,1
Everton,Manchester City,1,0,1,1
Middlesbrough,Liverpool,1,1,0,1
West Ham United,Fulham,2,1,1,1
Manchester United,Newcastle United,6,0,1,1
Sunderland,Portsmouth,2,0,1,1
Bolton Wanderers,Blackburn Rovers,1,2,2,1
Birmingham City,Chelsea,0,1,2,1
Blackburn Rovers,Middlesbrough,1,1,0,1
Fulham,Arsenal,0,3,2,1
Portsmouth,Derby County,3,1,1,1
Reading,Manchester United,0,2,2,1
Tottenham Hotspur,Sunderland,2,0,1,1
Newcastle United,Bolton Wanderers,0,0,0,1
Wigan Athletic,Everton,1,2,2,1
Manchester City,West Ham United,1,1,0,1
Liverpool,Aston Villa,2,2,0,1
Aston Villa,Blackburn Rovers,1,1,0,1
Arsenal,Newcastle United,3,0,1,1
Bolton Wanderers,Fulham,0,0,0,1
Middlesbrough,Wigan Athletic,1,0,1,1
Sunderland,Birmingham City,2,0,1,1
Chelsea,Reading,1,0,1,1
Derby County,Manchester City,1,1,0,1
West Ham United,Liverpool,1,0,1,1
Everton,Tottenham Hotspur,0,0,0,1
Manchester United,Portsmouth,2,0,1,1
Manchester City,Arsenal,1,3,2,1
Birmingham City,Derby County,1,1,0,1
Blackburn Rovers,Everton,0,0,0,1
Portsmouth,Chelsea,1,1,0,1
Reading,Bolton Wanderers,0,2,2,1
Tottenham Hotspur,Manchester United,1,1,0,1
Wigan Athletic,West Ham United,1,0,1,1
Liverpool,Sunderland,3,0,1,1
Newcastle United,Middlesbrough,1,1,0,1
Fulham,Aston Villa,2,1,1,1
Aston Villa,Newcastle United,4,1,1,1
Bolton Wanderers,Portsmouth,0,1,2,1
Derby County,Tottenham Hotspur,0,3,2,1
Everton,Reading,1,0,1,1
Middlesbrough,Fulham,1,0,1,1
Sunderland,Wigan Athletic,2,0,1,1
West Ham United,Birmingham City,1,1,0,1
Manchester United,Manchester City,1,2,2,1
Chelsea,Liverpool,0,0,0,1
Arsenal,Blackburn Rovers,2,0,1,1
Birmingham City,Arsenal,2,2,0,1
Fulham,West Ham United,0,1,2,1
Liverpool,Middlesbrough,3,2,1,1
